length,misc,copies,comparisons
110,[111],[770],[615]
121,[123],[847],[687]
133,[138],[1064],[869]
146,[150],[1168],[921]
160,[161],[1280],[1014]
176,[177],[1408],[1123]
193,[198],[1544],[1225]
212,[214],[1696],[1403]
233,[236],[1864],[1547]
256,[255],[2048],[1719]
281,[286],[2529],[2088]
309,[313],[2781],[2268]
339,[343],[3051],[2501]
372,[374],[3348],[2754]
409,[413],[3681],[3114]
449,[454],[4041],[3432]
493,[495],[4437],[3798]
542,[546],[5420],[4606]
596,[600],[5960],[5021]
655,[659],[6550],[5508]
720,[722],[7200],[6033]
792,[795],[7920],[6819]
871,[874],[8710],[7499]
958,[959],[9580],[8315]
1053,[1059],[11583],[10082]
1158,[1164],[12738],[10944]
1273,[1277],[14003],[11897]
1400,[1402],[15400],[13095]
1540,[1546],[16940],[14972]
1694,[1697],[18634],[16290]
1863,[1867],[20493],[18024]
2049,[2059],[24588],[21386]
2253,[2259],[27036],[23537]
2478,[2482],[29736],[25632]
2725,[2731],[32700],[28350]
2997,[3001],[35964],[31222]
3296,[3298],[39552],[34901]
3625,[3631],[43500],[38794]
3987,[3991],[47844],[42759]
4385,[4394],[57005],[50455]
4823,[4828],[62699],[54874]
5305,[5311],[68965],[60623]
5835,[5840],[75855],[66420]
6418,[6425],[83434],[74649]
7059,[7064],[91767],[81895]
7764,[7768],[100932],[90859]
8540,[8546],[119560],[107255]
9394,[9401],[131516],[116814]
10333,[10340],[144662],[128955]
11366,[11372],[159124],[141258]
12502,[12508],[175028],[158366]
13752,[13755],[192528],[173289]
15127,[15132],[211778],[191709]
16639,[16645],[249585],[226942]
18302,[18306],[274530],[245552]
20132,[20138],[301980],[268866]
22145,[22154],[332175],[296562]
24359,[24364],[365385],[326516]
26794,[26801],[401910],[365328]
29473,[29481],[442095],[403269]
32420,[32424],[486300],[445422]
35662,[35669],[570592],[515864]
39228,[39234],[627648],[564304]
43150,[43158],[690400],[622932]
47465,[47472],[759440],[683695]
52211,[52216],[835376],[762106]
57432,[57439],[918912],[845716]
63175,[63180],[1010800],[928909]
69492,[69498],[1181364],[1077431]
76441,[76450],[1299497],[1177216]
84085,[84094],[1429445],[1299693]
92493,[92501],[1572381],[1425080]
101742,[101748],[1729614],[1590164]
111916,[111922],[1902572],[1745749]
123107,[123115],[2092819],[1936064]
135417,[135427],[2437506],[2247676]
148958,[148965],[2681244],[2452207]
163853,[163866],[2949354],[2707824]
180238,[180249],[3244284],[2965858]
198261,[198270],[3568698],[3309215]
218087,[218093],[3925566],[3620788]
239895,[239903],[4318110],[4001291]
263884,[263894],[5013796],[4667488]
290272,[290277],[5515168],[5059694]
319299,[319307],[6066681],[5540398]
351228,[351232],[6673332],[6108623]
386350,[386357],[7340650],[6724539]
424985,[424994],[8074715],[7473858]
467483,[467493],[8882177],[8272308]
514231,[514237],[9770389],[9113463]
565654,[565665],[11313080],[10462939]
622219,[622227],[12444380],[11429520]
684440,[684448],[13688800],[12602928]
752884,[752889],[15057680],[13844016]
828172,[828182],[16563440],[15421828]
910989,[910997],[18219780],[16939462]
1002087,[1002095],[20041740],[18749485]
